CurrentOpen,CurrentClose,CurrentAsk,Profit,closeReason,Action
1560.2,1559.95,1560.110000,-0.72000000,closeByStopLossNonProfitable,buy
1560.2,1559.95,1560.110000,-0.67000000,closeByStopLossNonProfitable,buy
1560.2,1559.95,1560.110000,-0.70000000,closeByStopLossNonProfitable,buy
1560.2,1559.95,1560.110000,-0.62000000,closeByStopLossNonProfitable,buy
1560.2,1559.95,1560.110000,-0.60000000,closeByStopLossNonProfitable,buy
1560.2,1559.95,1560.110000,-0.61000000,closeByStopLossNonProfitable,buy
1560.16,1559.97,1560.140000,0.03000000,closeByStopLossProfitable,buy
1560.16,1559.97,1560.140000,-0.03000000,closeByStopLossNonProfitable,buy
1560.16,1559.97,1560.140000,-0.08000000,closeByStopLossNonProfitable,buy
1560.16,1559.97,1560.140000,0.00000000,closeByStopLossNonProfitable,buy
1560.16,1559.97,1560.140000,0.12000000,closeByStopLossProfitable,buy
1560.16,1559.97,1560.140000,-0.03000000,closeByStopLossNonProfitable,buy
1560.16,1559.97,1560.140000,-0.08000000,closeByStopLossNonProfitable,buy
1559.82,1559.97,1560.140000,0.02000000,closeByStopLossProfitable,buy
1560.2,1559.97,1560.130000,-0.25000000,closeByStopLossNonProfitable,buy
1560.2,1559.97,1560.130000,-0.32000000,closeByStopLossNonProfitable,buy
1560.2,1559.97,1560.130000,-0.41000000,closeByStopLossNonProfitable,buy
1559.63,1559.56,1559.710000,-1.15000000,closeByStopLossNonProfitable,buy
1559.63,1559.57,1559.720000,-1.13000000,closeByStopLossNonProfitable,buy
1559.63,1559.52,1559.670000,-1.14000000,closeByStopLossNonProfitable,buy
1560.39,1560.48,1560.660000,-1.06000000,closeByStopLossNonProfitable,sell
1559.69,1559.63,1559.780000,-0.97000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.63000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.60000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.75000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.97000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.81000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.87000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.75000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.85000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.77000000,closeByStopLossNonProfitable,buy
1559.57,1559.12,1559.240000,-0.74000000,closeByStopLossNonProfitable,buy
1559.53,1560.01,1560.200000,-0.56000000,closeByStopLossNonProfitable,sell
1560.07,1559.98,1560.150000,-0.03000000,closeByStopLossNonProfitable,sell
1561.03,1561.25,1561.410000,-1.00000000,closeByStopLossNonProfitable,sell
1565.92,1565.84,1566.000000,-0.24000000,closeByStopLossNonProfitable,buy
1565.92,1565.84,1566.000000,-0.22000000,closeByStopLossNonProfitable,buy
1565.92,1565.84,1566.000000,-0.24000000,closeByStopLossNonProfitable,buy
1566.1,1565.84,1566.010000,-0.20000000,closeByStopLossNonProfitable,buy
1566.1,1565.84,1566.010000,-0.36000000,closeByStopLossNonProfitable,buy
1566.1,1565.84,1566.010000,-0.60000000,closeByStopLossNonProfitable,buy
1566.1,1565.84,1566.010000,-0.52000000,closeByStopLossNonProfitable,buy
1566.1,1565.84,1566.010000,-0.60000000,closeByStopLossNonProfitable,buy
1566.1,1565.84,1566.010000,-0.50000000,closeByStopLossNonProfitable,buy
1566.1,1565.84,1566.010000,-0.43000000,closeByStopLossNonProfitable,buy
1565.53,1565.84,1566.010000,-0.08000000,closeByStopLossNonProfitable,buy
1565.51,1564.95,1565.060000,-2.04000000,closeByStopLossNonProfitable,buy
1565.51,1564.95,1565.060000,-2.09000000,closeByStopLossNonProfitable,buy
1565.51,1564.81,1564.920000,-2.12000000,closeByStopLossNonProfitable,buy
1565.51,1564.81,1564.920000,-2.14000000,closeByStopLossNonProfitable,buy
1565.51,1564.81,1564.920000,-2.09000000,closeByStopLossNonProfitable,buy
